Symbol,Open,High,Low,Close
IBM,147.0100,147.0100,147.0100,147.0100
IBM,146.8800,146.8800,146.5000,146.5500
IBM,146.7000,146.7000,146.7000,146.7000
IBM,147.0100,147.0100,147.0100,147.0100
IBM,147.0100,147.0100,147.0100,147.0100
IBM,147.0100,147.0100,146.7200,146.7200
IBM,146.7100,147.0100,146.5200,146.7200
IBM,147.0100,147.0100,147.0100,147.0100
IBM,147.0100,147.0200,146.6300,147.0100
IBM,147.0100,147.0100,146.7200,147.0100
IBM,147.0100,147.0100,147.0100,147.0100
IBM,147.0100,147.0100,146.9500,147.0100
IBM,146.8450,147.0600,146.8400,147.0100
IBM,146.8700,146.8800,146.8200,146.8400
IBM,146.9250,146.9300,146.8650,146.8700
IBM,146.9200,146.9650,146.9000,146.9200
IBM,147.0850,147.0900,146.9200,146.9300
IBM,147.0400,147.1000,147.0350,147.0800
IBM,147.0650,147.0800,147.0450,147.0600
IBM,146.9700,147.0900,146.9700,147.0650
IBM,146.8950,146.9800,146.8800,146.9600
IBM,146.9000,146.9000,146.8500,146.9000
IBM,146.8750,146.9250,146.8600,146.9100
IBM,146.8500,146.8900,146.8400,146.8700
IBM,146.8100,146.8900,146.8100,146.8600
IBM,146.8000,146.8600,146.8000,146.8200
IBM,146.8950,146.8950,146.7800,146.8000
IBM,146.9290,146.9300,146.8900,146.9150
IBM,146.9700,146.9800,146.9100,146.9100
IBM,146.9870,146.9870,146.9300,146.9700
IBM,147.0000,147.0050,146.9600,146.9800
IBM,146.9900,147.0400,146.9900,147.0200
IBM,146.9050,146.9800,146.9050,146.9800
IBM,146.9300,146.9370,146.8900,146.9050
IBM,146.8310,146.9200,146.8310,146.9100
IBM,146.8500,146.8500,146.8300,146.8300
IBM,146.8300,146.8500,146.8230,146.8500
IBM,146.8200,146.8600,146.8200,146.8320
IBM,146.8050,146.8200,146.7950,146.8100
IBM,146.8000,146.8400,146.7900,146.8000
IBM,146.7150,146.8200,146.7100,146.8050
IBM,146.6600,146.7100,146.6500,146.7100
IBM,146.6000,146.6700,146.5800,146.6500
IBM,146.6200,146.6200,146.5900,146.6000
IBM,146.6100,146.6200,146.6100,146.6200
IBM,146.5900,146.6300,146.5900,146.6200
IBM,146.5600,146.5700,146.5300,146.5700
IBM,146.5900,146.6000,146.5550,146.5700
IBM,146.5500,146.5900,146.5470,146.5800
IBM,146.5400,146.5700,146.5400,146.5400
IBM,146.5700,146.5900,146.5500,146.5500
IBM,146.6200,146.6200,146.5800,146.5800
IBM,146.5900,146.6100,146.5800,146.6100
IBM,146.6200,146.6210,146.5800,146.6000
IBM,146.6000,146.6300,146.5900,146.6150
IBM,146.6200,146.6300,146.6100,146.6200
IBM,146.6300,146.6400,146.6200,146.6300
IBM,146.5500,146.6300,146.5500,146.6300
IBM,146.5600,146.5800,146.5400,146.5400
IBM,146.5700,146.5800,146.5650,146.5800
IBM,146.5800,146.5900,146.5800,146.5870
IBM,146.5830,146.5900,146.5600,146.5800
IBM,146.6100,146.6100,146.5850,146.5900
IBM,146.5900,146.6000,146.5900,146.6000
IBM,146.6300,146.6300,146.6000,146.6050
IBM,146.5800,146.6300,146.5800,146.6300
IBM,146.5700,146.5900,146.5500,146.5900
IBM,146.6000,146.6200,146.5700,146.5700
IBM,146.6800,146.6800,146.5900,146.6100
IBM,146.6100,146.6700,146.6050,146.6700
IBM,146.6200,146.6300,146.5900,146.6000
IBM,146.6200,146.6240,146.5900,146.6100
IBM,146.6300,146.6500,146.6100,146.6300
IBM,146.6100,146.6300,146.6000,146.6200
IBM,146.6000,146.6300,146.6000,146.6100
IBM,146.6400,146.6470,146.6000,146.6200
IBM,146.6700,146.6750,146.6450,146.6600
IBM,146.6650,146.6740,146.6400,146.6550
IBM,146.6600,146.6700,146.6550,146.6650
IBM,146.7000,146.7300,146.6400,146.6400
IBM,146.7100,146.7200,146.7000,146.7200
IBM,146.6800,146.7000,146.6500,146.7000
IBM,146.6900,146.6900,146.6600,146.6800
IBM,146.7050,146.7100,146.6600,146.6900
IBM,146.7100,146.7200,146.7050,146.7100
IBM,146.7100,146.7300,146.6800,146.6800
IBM,146.7200,146.7300,146.7000,146.7100
IBM,146.6800,146.7300,146.6800,146.7000
IBM,146.6600,146.6900,146.6600,146.6700
IBM,146.6500,146.6700,146.6500,146.6600
IBM,146.6700,146.6900,146.6500,146.6500
IBM,146.6600,146.6700,146.6600,146.6600
IBM,146.6600,146.6600,146.6400,146.6400
IBM,146.6600,146.6700,146.6400,146.6600
IBM,146.6100,146.6400,146.6000,146.6400
IBM,146.6000,146.6180,146.5900,146.5900
IBM,146.6100,146.6300,146.6000,146.6000
IBM,146.5900,146.6050,146.5900,146.5900
IBM,146.6100,146.6200,146.5800,146.5800
IBM,146.5900,146.6100,146.5800,146.5800
IBM,146.5800,146.5900,146.5700,146.5800
IBM,146.5400,146.5650,146.5400,146.5650
IBM,146.5200,146.5600,146.5200,146.5400
IBM,146.5100,146.5250,146.5050,146.5100
IBM,146.5200,146.5300,146.5100,146.5100
IBM,146.4600,146.5100,146.4600,146.5000
IBM,146.4650,146.4800,146.4500,146.4800
IBM,146.4710,146.4900,146.4500,146.4800
IBM,146.5000,146.5000,146.4500,146.4800
IBM,146.5200,146.5500,146.5000,146.5000
IBM,146.5780,146.5840,146.5300,146.5450
IBM,146.5900,146.5900,146.5200,146.5700
IBM,146.5800,146.5900,146.5600,146.5900
